IPE,h (mm),b (mm),I (mm^4),A (mm^2),min L (mm),max L (mm)
IPE 80,80,46,801000,764,6000,12000
IPE 100,100,55,1710000,1030,6000,12000
IPE 120,120,64,3180000,1320,6000,12000
IPE 140,140,73,5410000,1610,6000,12000
IPE 160,160,82,8690000,2010,6000,12000
IPE 180,180,91,13170000,2390,6000,12000
IPE 200,200,100,19430000,2850,6000,12000
IPE 220,220,110,27720000,3340,6000,12000
IPE 240,240,120,38920000,3910,6000,12000
IPE 270,270,135,57870000,4590,9000,12000
IPE 300,300,150,83560000,5380,10000,15000
IPE 330,330,160,117700000,6260,10000,15000
IPE 360,360,170,162700000,7270,10000,15000
IPE 400,400,180,231300000,8450,12000,15000
IPE 450,450,190,337400000,9880,12000,18000
IPE 500,500,200,482000000,11550,12000,18000
IPE 550,550,210,671000000,13420,12000,18000
IPE 600,600,220,920000000,15500,12000,18000